en,es,de,nl,fr,it,ru,sv,pt,ar,da,no,pl,cy,et,ro,tr,hu,fi,hr,el,ca,sq,hy,az,be,bs,bg,cs,ka,is,lv,lt,mk,sr,sk,sl,uk
uprising,levantamiento,Aufstand,opstand,soulèvement,rivolta,восстание,uppror,revolta,الانتفاضة,opstand,oppstand,powstanie,gwrthryfel,ülestõus,răscoală,ayaklanma,felkelés,kansannousu,ustanak,εξέγερση,aixecament,kryengritje,ապստամբություն,üsyan,паўстанне,ustanak,въстание,povstání,აჯანყება,uppreisn,sacelšanās,sukilimas,востание,устанак,povstanie,vstaja,повстання
uprisings,levantamientos,Aufstände,opstanden,soulèvements,sollevazioni,восстания,resningar,levantes,الانتفاضات,opstande,oppstander,powstań,wrthryfeloedd,ülestõusud,răscoale,ayaklanmalar,felkelések,kansannousut,ustanci,εξεγέρσεις,aixecaments,kryengritjet,ապստամբությունները,üsyanları,паўстання,pobune,въстания,povstání,აჯანყებები,uppreisnar,sacelšanās,sukilimai,востанија,побуне,povstanie,vstaje,повстання
war,guerra,war,oorlog,guerre,guerra,война,krig,guerra,حرب,krig,krig,wojna,Rhyfel,sõda,război,savaş,háború,sota,rat,πόλεμος,guerra,luftë,պատերազմ,müharibə,вайна,rat,война,válka,ომი,stríð,karš,karas,војна,рат,vojna,vojna,війна
wars,guerras,wars,oorlogen,guerres,guerre,войны,krig,guerras,الحروب,krige,kriger,wars,rhyfeloedd,sõjad,războaie,savaşlar,háborúk,sodat,ratovi,του πολέμου,guerres,luftërat,պատերազմներ,wars,вайны,ratovi,войни,války,ომები,stríð,kari,karai,војни,ратови,vojny,vojne,війни
resignation,resignación,Rücktritt,ontslag,démission,dimissioni,отставка,avgång,renúncia,استقالة,resignation,oppsigelse,rezygnacja,ymddiswyddiad,lahkumispalve,demisie,istifa,lemondás,eroaminen,ostavka,παραίτηση,renúncia,dorëheqje,հրաժարականը,istefa,адстаўка,ostavka,оставка,rezignace,გადადგომის,störfum,atlūgums,atsistatydinimas,оставка,оставка,rezignácia,odstop,відставка
dissolution,disolución,Auflösung,ontbinding,dissolution,scioglimento,растворение,upplösning,dissolução,تحلل,opløsning,oppløsning,rozpuszczenie,diddymu,lahustamine,dizolvare,çözünme,oldódás,liukeneminen,otapanje,διάλυση,dissolució,shpërbërje,վախճան,ləğv,растварэнне,raspuštanje,разтваряне,rozpuštění,დაშლის,uppleysingu,šķīdināšana,nutraukimas,распуштање,распуштање,rozpustenie,raztapljanje,розчинення
crisis,crisis,Krise,crisis,crise,crisi,кризис,kris,crise,أزمة,krise,krise,kryzys,argyfwng,kriis,criză,kriz,válság,kriisi,kriza,κρίση,crisi,krizë,ճգնաժամ,böhran,крызіс,kriza,криза,krize,კრიზისი,Kreppan,krīze,krizė,криза,криза,kríza,kriza,криза
army,Ejército,Heer,leger,armée,esercito,армия,armén,exército,جيش,hær,hær,armia,fyddin,armee,armată,ordu,hadsereg,armeija,vojska,στρατός,exèrcit,ushtri,բանակ,ordu,армія,vojska,армия,armáda,არმია,her,armija,kariuomenė,војска,војска,armáda,vojska,армія
corruption,corrupción,Korruption,corruptie,corruption,corruzione,коррупция,korruption,corrupção,فساد,korruption,korrupsjon,korupcja,llygredd,korruptsioon,corupţie,bozulma,vesztegetés,korruptio,korupcija,διαφθορά,corrupció,korrupsioni,կաշառակերություն,korrupsiya,карупцыя,korupcija,корупция,korupce,კორუფცია,spillingu,korupcija,korupcija,корупцијата,корупција,korupcia,korupcija,корупція
demonstration,demostración,demonstration,demonstratie,manifestation,dimostrazione,демонстрация,demonstration,demonstração,برهنة,demonstration,demonstrasjon,demonstracja,arddangosiad,demonstratsioon,demonstrație,gösteri,demonstráció,esittely,demonstracija,επίδειξη,demostració,demonstrim,ցույց,nümayiş,дэманстрацыя,demonstracija,демонстрация,demonstrace,დემონსტრაცია,sýning,demonstrācija,demonstracija,демонстрација,демонстрација,demonštrácie,predstavitev,демонстрація
demonstrations,demostraciones,Demonstrationen,demonstraties,démonstrations,dimostrazioni,демонстрации,demonstrationer,demonstrações,المظاهرات,demonstrationer,demonstrasjoner,demonstracje,arddangosiadau,demonstratsioone,demonstrații,gösteriler,tüntetések,mielenosoitukset,demonstracije,διαδηλώσεις,demostracions,demonstrata,ցույցեր,nümayişlər,дэманстрацыі,demonstracije,демонстрации,demonstrace,დემონსტრაციები,sýnikennslu,demonstrācijas,demonstracijos,демонстрации,демонстрације,demonštrácie,demonstracije,демонстрації
insurgency,insurrección,Aufstand,opstand,insurrection,insurrezione,мятеж,uppror,insurreição,تمرد,oprør,opprøret,powstanie przeciw władzy,gwrthryfel,mässulise,insurecție,isyan,felkelés,kapinointi,pobuna,ανταρσία,insurrecció,kryengritje,ապստամբների,partizan,мяцеж,pobuna,бунт,vzpoura,ამბოხების,uppreisnin,nemieri,sukilėliais,бунт,бунт,vzbura,upor,заколот
regime,régimen,Regime,regime,régime,regime,режим,regimen,regime,النظام الحاكم,regime,regime,reżim,gyfundrefn,kord,regim,rejim,rezsim,järjestelmä,režim,καθεστώς,règim,regjim,ռեժիմ,rejim,рэжым,režim,режим,režim,რეჟიმი,stjórn,režīms,režimas,режим,режим,režim,režim,режим
revolution,revolución,revolution,revolutie,révolution,rivoluzione,революция,rotation,revolução,ثورة,revolution,revolusjon,rewolucja,chwyldro,revolutsioon,revoluţie,devrim,forradalom,vallankumous,revolucija,επανάσταση,revolució,revolucion,հեղափոխություն,inqilab,рэвалюцыя,revolucija,революция,revoluce,რევოლუცია,byltingin,revolūcija,revoliucija,револуција,револуција,revolúcia,revolucija,революція
revolutions,revoluciones,Revolutionen,revoluties,révolutions,rivoluzioni,обороты,varv,revoluções,الثورات,revolutioner,revolusjoner,rewolucje,chwyldroadau,pöörete,revoluții,devrimler,fordulat,vallankumouksia,revolucije,επαναστάσεις,revolucions,revolucionet,հեղափոխություններ,inqilablar,абароты,revolucije,революции,otáčky,რევოლუციების,byltingar,apgriezieni,revoliucijų,револуции,револуције,otáčky,vrtljajev,обороти
tunisia,Túnez,tunesien,Tunesië,Tunisie,tunisia,Тунис,tunisien,Tunísia,تونس,tunesien,tunisia,Tunezja,Tunisia,Tuneesia,Tunisia,tunus,Tunézia,tunisia,Tunis,τυνησία,Tunísia,Tunizi,Թունիս,tunis,Туніс,Tunis,Тунис,tunisko,ტუნისში,Túnis,Tunisija,Tunisas,Тунис,Тунис,tunisko,Tunizija,Туніс
tunisian,tunecino,tunesisch,Tunesische,Tunisie,tunisino,тунисский,tunisisk,tunisino,التونسية,tunesiske,tunisiske,Tunezyjska,Tunisiaidd,Tuneesia,tunisiană,Tunus,tunéziai,tunisian,Tunižanin,Τυνησίας,tunisià,tunizian,Թունիսի,Tunis,туніскі,Tunižanin,тунизийски,tuniský,ტუნისის,Túnis,tunisietis,Tuniso,Тунис,Тунижанин,tuniský,tunizijski,туніський
egypt,Egipto,Ägypten,Egypte,Egypte,Egitto,Египет,egypten,Egito,مصر,egypten,Egypt,Egipt,Aifft,Egiptus,Egipt,Mısır,Egyiptom,Egypti,Egipat,Αίγυπτος,Egipte,Egjipt,Եգիպտոս,Misir,Егіпет,Egipat,Египет,Egypt,ეგვიპტეში,Egyptaland,Ēģipte,Egiptas,Египет,Египат,egypt,Egipt,Єгипет
egyptian,egipcio,ägyptisch,Egyptische,égyptien,egiziano,египтянин,egyptisk,egípcio,مصري,egyptiske,egyptisk,Egipcjanin,Aifft,egiptuse,egiptean,Mısır,egyiptomi,egyptiläinen,Egipćanin,Αιγύπτιος,egipci,egjiptian,եգիպտական,Misir,егіпцянін,Egipćanin,египетски,Egypťan,ეგვიპტის,egyptian,ēģiptietis,Egipto,египетски,Египћанин,Egypťan,egipčanski,єгиптянин
yemen,Yemen,Jemen,Jemen,Yémen,yemen,Йемен,jemen,Iémen,اليمن,yemen,yemen,Jemen,yemen,Jeemen,Yemenul,yemen,Jemen,Jemen,Jemen,Γέμενη,Iemen,Jemen,Եմեն,yemen,Емен,Jemen,Йемен,Jemen,იემენის,Jemen,Jemena,Jemenas,Јемен,Јемен,jemen,jemen,Ємен
syria,Siria,Syrien,Syrië,Syrie,Siria,Сирия,syrien,Síria,سوريا,syrien,syria,Syria,syria,Süüria,Siria,Suriye,Szíria,Syyria,Sirija,συρία,Síria,Siria,Սիրիան,Suriya,Сірыя,Sirija,Сирия,Sýrie,syria,Sýrland,Sīrija,Sirija,Сирија,Сирија,Sýria,sirija,Сирія
syrian,sirio,syrisch,Syrisch,syrien,siriano,сириец,syriansk,sírio,سوري,syriske,syriske,syryjski,Syria,Süüria,sirian,Suriye,szír,syyrialainen,Sirijac,σύριος,sirià,sirian,սիրիացի,Suriya,сірыец,sirijski,сирийски,Syřan,სირიის,Syrian,Sīrijas,Sirijos,Сирија,сиријски,sýrsky,Sirski,сирієць
libya,Libia,Libyen,Libië,Libye,Libia,Ливия,libyen,Líbia,ليبيا,libyen,libya,Libia,libya,Liibüa,Libia,libya,Líbia,libya,Libija,Λιβύη,Líbia,Libi,Լիբիան,libya,Лівія,Libija,Либия,Libye,ლიბიაში,Libya,Lībija,Libija,либија,Либија,Líbya,libija,Лівія
libyan,libio,Libyer,Libisch,libyen,libico,ливийский,libyan,líbio,ليبي,libyske,Libyske,libijski,Libya,Liibüa,libian,Libya,líbiai,libyan,libijski,Λίβυος,libi,libian,լիվիական,libyan,лівійскі,libijski,либийски,Libyjská,ლიბიის,Libyan,Lībijas,Libijos,Либискиот,либијски,Líbyjská,Libijska,лівійський
Bahrain,Bahrein,Bahrain,Bahrein,Bahreïn,Bahrain,Бахрейн,Bahrain,Bahrain,البحرين,Bahrain,Bahrain,Bahrajn,Bahrain,Bahrain,Bahrain,Bahreyn,Bahrein,Bahrain,Bahrein,Μπαχρέιν,Bahrain,Bahrain,Բահրեյն,Bahrain,Бахрэйн,Bahrein,Бахрейн,Bahrain,Bahrain,Bahrain,Bahreina,Bahreinas,Бахраин,Бахреин,Bahrain,Bahrajn,Бахрейн
Morocco,Marruecos,Marokko,Marokko,Maroc,Marocco,Марокко,Marocko,Marrocos,المغرب,Marokko,Marokko,Maroko,Moroco,Maroko,Maroc,Fas,Marokkó,Marokko,Maroko,Μαρόκο,Marroc,Marok,սեկ,tumac,Марока,Maroko,Мароко,Maroko,Morocco,Marokkó,Maroka,Marokas,Мароко,Мароко,Maroko,Maroko,Марокко
Iraq,Irak,Irak,Irak,Irak,Iraq,Ирак,irak,Iraque,عراق,Irak,Irak,Irak,Irac,Iraak,Irak,Irak,Irak,Irak,Irak,Ιράκ,Iraq,Irak,Իրաք,İraq,Ірак,Irak,Ирак,Irák,ერაყში,Írak,Irāka,Irakas,Ирак,Ирак,Irak,Irak,Ірак
Oman,Omán,Oman,Oman,Oman,Oman,Оман,oman,Omã,عمان,Oman,Oman,Oman,oman,Oman,Oman,Umman,oman,Oman,Oman,Ομάν,Oman,Oman,Օման,oman,Аман,Oman,Оман,oman,ომანი,óman,Omāna,Omanas,оман,Оман,oman,oman,Оман
saudi,Arabia,saudi,saudi,saoudien,Arabia,саудовская,saudi,Arábia,سعودي,saudi,saudi,Arabia,Saudi,saudi,arabia,Suudi,Szaúd-,saudi,saudijski,Σαουδική,Aràbia,Arabia,Սաուդյան Արաբիայի,Səudiyyə,саудаўская,saudi,Саудитска,saúdská,საუდის,Saudi,Saūda,Saudo,Саудиска,Саудијска,saudská,Savdska,саудівська
arabia,Saudita,Arabien,Arabië,Saoudite,arabia,аравия,arabien,arabia,عربية,arabien,arabia,saudyjska,arabia,Araabia,arabia,Arabistan,Arábiában,Arabia,Arabija,Αραβία,Saudita,Saudite,արաբիա,Ərəbistan,Аравія,Arabija,Арабия,arábie,arabia,Arabíu,Arābija,Arabija,Арабија,Арабија,arábia,Arabija,аравия
jordan,Jordán,Jordan,Jordanië,Jordan,Giordania,Иордания,jordan,Jordânia,الأردن,jordan,jordan,Jordania,Iorddonen,Jordaania,Iordania,Ürdün,Jordánia,Jordan,Jordan,Ιορδανία,Jordània,Jordan,jordan,jordan,Іарданія,Jordan,Йордания,Jordán,jordan,jordan,Jordānija,Jordan,Јордан,Јордан,Jordán,jordan,Йорданія
lebanon,Líbano,Libanon,Libanon,Liban,Libano,Ливан,libanon,Líbano,لبنان,libanon,Libanon,Liban,libanus,Liibanon,Liban,Lübnan,Libanon,Libanon,Liban,Λίβανος,Líban,Liban,լիբանան,lebanon,Ліван,Liban,Ливан,Libanon,LEBANON,Lebanon,Libāna,Libanas,Либан,Либан,Libanon,Lebanon,Ліван
algeria,Argelia,Algerien,Algerije,Algérie,algeria,Алжир,algeriet,Argélia,الجزائر,algeriet,Algerie,Algieria,algeria,Alžeeria,algeria,Cezayir,Algéria,algeria,Alžir,αλγερία,Algèria,Algjeri,Ալժիրի Ժողովրդավարական Դեմոկրատական ​​Հանրապետություն,Cezayir,Алжыр,Alžir,Алжир,Alžírsko,ალჟირი,Alsír,Alžīrija,Alžyras,Алжир,Алжир,Alžírsko,alžirija,Алжир
algerian,argelino,algerisch,Algerijns,algérien,algerino,алжирский,algerier,argelino,جزائري,algeriske,algeriske,algierski,Algeria,Alžeeria,algerian,Cezayir,algériai,algerialainen,alžirski,Αλγερινός,algerià,Algjerian,ալժիրական,Algerian,алжырскі,alžirski,алжирски,alžírský,ალჟირის,Alsír,alžīriešu,Alžyro,алжирски,Алжирац,alžírsky,Alžirski,алжирський
sudan,Sudán,sudan,Soedan,Soudan,Sudan,Судан,sudan,Sudão,سودان,Sudan,sudan,Sudan,sudan,Sudaan,sudan,sudan,Szudán,Sudan,sudan,Σουδάν,Sudan,Sudan,Սուդանը,sudan,Судан,sudan,Судан,súdán,სუდანი,súdan,Sudāna,Sudanas,Судан,Судан,sudán,sudan,Судан
sudanese,sudanés,sudanese,Soedanees,soudanais,sudanese,суданский,sudanese,sudanês,سوداني,Sudans,sudanese,Sudańczycy,Swdan,Sudaani,sudaneză,Sudan,szudáni,Sudanin,sudanski,του Σουδάν,sudanès,sudanez,Սուդանի,Sudanese,суданскі,sudanski,судански,súdánský,სუდანის,Sudanese,sudānietis,Sudano,Судан,судански,sudánsky,Sudanski,суданський
djibouti,Djibouti,djibouti,djibouti,djibouti,Gibuti,Djibouti,djibouti,djibouti,جيبوتي,Djibouti,djibouti,Dżibuti,djibouti,djibouti,Djibuti,djibouti,djibouti,djibouti,Džibuti,Τζιμπουτί,Djibouti,Xhibuti,Ջիբութի,Cibuti,Djibouti,djibouti,Джибути,Džibutsko,ჯიბუტი,Djíbútí,Džibutija,Džibutis,Џибути,Џибути,Džibutsko,Džibuti,Djibouti
kuwait,Kuwait,kuwait,Koeweit,Koweit,kuwait,Кувейт,kuwait,Kuweit,كويت,Kuwait,Kuwait,Kuwejt,kuwait,Kuveit,Kuweit,Kuveyt,Kuvait,kuwait,Kuvajt,Κουβέιτ,Kuwait,Kuvajti,Քուվեյթ,küveyt,Кувейт,Kuvajt,Кувейт,Kuvajt,ქუვეითის,Kuwait,Kuveita,Kuwait,кувајт,Кувајт,Kuvajt,kuvajt,Кувейт
tunis,Túnez,Tunesien,Tunesië,tunis,Tunisia,Тунис,Tunisien,Tunísia,تونس,Tunesien,Tunisia,Tunezja,Tunisia,Tuneesia,Tunisia,Tunus,Tunézia,Tunisia,Tunis,Τυνησία,Tunísia,Tunizi,Թունիս,Tunis,Туніс,Tunis,тунис,Tunisko,Tunisia,Túnis,Tunisija,Tunisas,Тунис,Тунис,Tunisko,tunis,Туніс
algiers,argel,algiers,Algiers,alger,algeri,Алжир,alger,Argel,الجزائر,algiers,algiers,Algier,algiers,Alžiir,Algiers,Cezayir,Algír,Alger,Alžir,Αλγερίο,alger,Algjer,Ալժիրի,algiers,Алжыр,Algiers,Алжир,Alžír,ალჟირი,Algiers,Alžīra,Alžyras,Алжир,Алжир,Alžír,Alžir,Алжир
tripoli,trípoli,tripoli,tripoli,tripoli,tripoli,трепел,tripoli,tripoli,طرابلس,tripoli,Tripoli,Trypolis,tripoli,Tripoli,Tripoli,trablus,tripoli,Tripoli,Tripoli,τρίπολη,trípoli,Tripoli,TRIPOLI,tripoli,трепел,tripoli,Триполи,Tripoli,ტრიპოლში,Tripoli,Tripole,Tripolis,Триполи,Триполи,Tripoli,tripoli,трепел
sanaa,galería,Galerie,galerij,galerie,galleria,галерея,Gallery,galeria,سناء,Galleri,Gallery,galeria,Gallery,galerii,galerie,galeri,galéria,sanaa,galerija,στοά,galeria,galeri,սրահ,qalereya,галерэя,galerija,галерия,galerie,გალერეა,Gallery,galerija,galerija,Галерија,галерија,galéria,Galerija,галерея
muscat,moscatel,muskatellertraube,muskaatdruif,muscat,moscato,мускатный,muscat,moscatel,المسكات عنب طيب الشذا,muscat,muscat,Muskat,Muscat,muskaat,muscat,misket üzümü,muskotály,Muscat,muškat,μοσχοστάφυλο,moscatell,rrush muskat,Մուսկատ,muskat,мушкатовы,muškat,мискет,muscat,მუსკატი,Múskat,Maskata,muskatas,Мускат,мускат,muscat,muškat,мускатний
riyadh,Riad,riyadh,riyadh,riyad,riyadh,Рияд,riyadh,riyadh,رياض,Riyadh,riyadh,Rijad,Riyadh,Riyadh,Riyad,Riyad,Riyadh,Riad,Rijad,riyadh,Riad,Riyadh,Riyadh,Ər-Riyad,Рыяд,Rijad,Рияд,Rijád,Riyadh,Riyadh,Rijāda,Rijadas,Ријад,Ријад,Rijád,riyadh,Ріяд
manama,manama,manama,manama,manama,Manama,Манама,manama,Manama,المنامة,manama,Manama,Manama,Manama,Manama,manama,manama,Manama,Manama,manama,Μανάμα,Manama,Manama,manama,manama,Манама,manama,Манама,manama,manama,Manama,Manama,Manama,Манама,Манама,manama,Manama,Манама
rabat,descuento,Rabatt,korting,rabat,sconto,скидка,rabatt,desconto,رباط,rabat,rabatt,rabat,disgownt,allahindlus,reducere,indirim,kedvezmény,alennus,popust,έκπτωση,descompte,zbritje,զեղչել,endirim,зніжка,popust,отстъпка,sleva,ფასდაკლება,afsláttur,atlaide,nuolaida,попуст,попуст,zľava,popust,знижка
amman,Amman,amman,Amman,amman,Amman,Амман,amman,Amã,عمان,Amman,Amman,Amman,amman,Amman,amman,amman,Amman,Amman,Amman,amman,Amman,Amman,Amman,amman,Аман,Amman,Аман,Ammán,Amman,amman,Ammāna,Amanas,Аман,Аман,Ammán,Aman,Амман
beirut,beirut,beirut,Beiroet,beyrouth,beirut,Бейрут,beirut,Beirute,بيروت,beirut,beirut,Bejrut,beirut,Beirut,Beirut,Beyrut,Bejrút,beirut,Bejrut,Βηρύτος,beirut,Bejrut,Բեյրութ,beirut,Бейрут,Bejrut,Бейрут,Beirut,ბეირუთში,Beirut,Beirūta,Beirutas,Бејрут,Бејрут,bejrút,Bejrut,Бейрут
damascus,Damasco,Damaskus,Damascus,Damas,Damasco,Дамаск,damascus,Damasco,دمشق,damascus,Damaskus,Damaszek,damascus,Damaskus,Damasc,Şam,Damaszkusz,Damaskos,Damask,δαμάσκο,Damasc,Damasku,Դամասկոսը,damascus,Дамаск,Damask,Дамаск,Damašek,დამასკოში,Damaskus,Damaska,Damaskas,Дамаск,Дамаск,Damask,damask,Дамаск
cairo,cairo,Kairo,Cairo,Caire,cairo,Каир,cairo,Cairo,القاهرة,cairo,cairo,Kair,cairo,Kairo,cairo,Kahire,Kairó,Kairo,Kairo,Κάιρο,el Caire,Kairo,Cairo,cairo,Каір,Kairo,Кайро,cairo,კაიროში,Cairo,Kaira,Kairas,Каиро,Каиро,cairo,Kairo,Каїр
baghdad,bagdad,Bagdad,Bagdad,bagdad,baghdad,Багдад,baghdad,Bagdá,بغداد,Bagdad,Bagdad,Bagdad,baghdad,Bagdadi,Bagdad,Bağdat,Bagdad,Bagdad,Bagdad,Βαγδάτη,bagdad,Bagdad,բաղդադ,Bağdad,Багдад,Bagdad,Багдад,Bagdád,ბაღდადში,Bagdad,Bagdāde,Baghdad,Багдад,Багдад,Bagdad,Bagdad,Багдад
khartoum,jartum,khartoum,Chartoem,khartoum,Khartoum,Хартум,khartoum,Cartum,الخرطوم,Khartoum,Khartoum,Chartum,Khartoum,Hartum,khartoum,hartum,Kartúm,Khartum,Khartoum,χαρτούμ,Khartum,Khartoum,Խարթում,xartum,Хартум,Khartoum,Хартум,Chartúm,ამყარებს,Khartoum,Hartuma,Khartoum,Картум,Картум,Chartúm,Kartum,Хартум
jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25,jan25
mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak,mubarak
moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak,moubarak
protestors,manifestantes,Protestierende,demonstranten,manifestants,manifestanti,протестующие,demonstranter,manifestantes,المتظاهرين,demonstranter,demonstranter,demonstranci,brotestwyr,meeleavaldajate,protestatari,protestocular,tiltakozók,mielenosoittajat,prosvjednici,διαδηλωτές,manifestants,protestuesit,ցուցարարները,etirazçılar,пратэстоўцы,demonstranata,демонстранти,demonstranti,აქციის,Mótmælendurnir,protestētājus,protestuotojų,демонстрантите,demonstranti,demonštranti,protestnike,протестувальники
protestors,manifestante,protestor,demonstrant,Manifestant,contestatore,протестующий,prote,protestor,متظاهر,demonstrant,protester,protestujący,protestor,protestija,protestatar,protestocu,óvó,mielenosoittajan,prosvjednik,διαδηλωτή,manifestant,protestues,ցուցարար,Etirazçı,пратэстуючы,demonstrant,демонстрант,protestujícího,გუშინ,mótmælendum,protestor,protestor,демонстрант,демонстрант,protestujúceho,protestor,протестуючий
Iran,Corrí,Iran,Ik rende,Iran,Iran,Иран,iran,Irã,إيران,Iran,Iran,Iran,Iran,Iraan,Iran,İran,Irán,Iran,Iran,Ιράν,Iran,Iran,iran,İran,Іран,Iran,Иран,Írán,ირანი,iran,Irāna,Iranas,Иран,Иран,Irán,Iran,Іран
unrest,disturbios,Unruhe,onrust,troubles,agitazione,беспорядки,oro,agitação,اضطراب,uro,uro,niepokój,aflonyddwch,rahutus,nelinişte,huzursuzluk,nyugtalanság,levottomuus,nemir,αναταραχή,disturbis,shqetësim,խռովություն,iğtişaş,беспарадкі,nemir,неспокойствие,neklid,არეულობა,ólgu,nemieri,neramumai,немири,немир,nepokoj,nemiri,заворушення
